iter	Passed	Remaining
0	0	958
1	0	1306
2	1	1161
3	1	1325
4	2	1398
5	2	1327
6	2	1276
7	3	1267
8	3	1269
9	4	1251
10	7	2093
11	8	2002
12	8	1951
13	8	1858
14	8	1782
15	9	1732
16	9	1692
17	10	1700
18	10	1655
19	12	1855
20	13	1960
21	14	1912
22	14	1869
23	14	1842
24	15	1803
25	16	1841
26	16	1812
27	17	1830
28	17	1799
29	18	1799
30	19	1861
31	19	1844
32	20	1841
33	20	1814
34	21	1844
35	22	1890
36	24	1934
37	24	1908
38	24	1890
39	25	1864
40	25	1847
41	26	1831
42	27	1925
43	28	1907
44	28	1880
45	29	1873
46	29	1862
47	30	1886
48	31	1914
49	32	1902
50	32	1894
51	33	1871
52	33	1851
53	34	1868
54	35	1898
55	35	1887
56	36	1881
57	36	1867
58	37	1851
59	39	1959
60	40	1946
61	41	1976
62	41	1956
63	43	2014
64	44	1998
65	45	2001
66	45	2004
67	46	2000
68	47	2007
69	47	1992
70	48	1981
71	48	1969
72	49	1992
73	50	2016
74	54	2118
75	55	2124
76	55	2123
77	56	2107
78	56	2098
79	57	2081
80	57	2070
81	58	2067
82	58	2055
83	58	2037
84	59	2026
85	59	2023
86	60	2012
87	60	2012
88	61	2004
89	63	2049
90	63	2034
91	64	2023
92	64	2023
93	65	2018
94	68	2100
95	70	2137
96	71	2126
97	71	2114
98	71	2105
99	73	2142
100	74	2133
101	74	2119
102	74	2108
103	76	2142
104	78	2156
105	80	2188
106	80	2173
107	81	2190
108	82	2180
109	84	2212
110	84	2200
111	85	2194
112	87	2246
113	88	2234
114	88	2227
115	91	2277
116	92	2267
117	92	2260
118	92	2246
119	93	2236
120	93	2234
121	94	2223
122	94	2211
123	95	2209
124	95	2197
125	96	2203
126	97	2196
127	97	2191
128	97	2180
129	98	2169
130	98	2161
131	101	2205
132	101	2193
133	102	2186
134	102	2176
135	103	2173
136	103	2161
137	103	2152
138	106	2190
139	106	2180
140	106	2169
141	107	2162
142	107	2155
143	108	2145
144	109	2149
145	109	2139
146	109	2129
147	110	2121
148	110	2114
149	110	2105
150	113	2142
151	114	2136
152	114	2126
153	115	2140
154	116	2131
155	117	2136
156	117	2127
157	117	2122
158	118	2113
159	118	2106
160	118	2096
161	120	2108
162	120	2103
163	121	2095
164	121	2086
165	124	2121
166	124	2120
167	125	2111
168	125	2104
169	125	2096
170	126	2087
171	126	2081
172	126	2072
173	127	2063
174	127	2054
175	127	2049
176	127	2040
177	130	2069
178	130	2062
179	131	2056
180	131	2049
181	132	2048
182	132	2040
183	132	2031
184	133	2024
185	133	2017
186	136	2047
187	136	2046
188	138	2061
189	139	2059
