iter	MultiClass
0	1.074411472
1	1.054261213
2	1.033472265
3	1.019767681
4	1.005592085
5	0.9939192912
6	0.9835225482
7	0.9734878476
8	0.9654380947
9	0.9573341609
10	0.9512071433
11	0.9457943151
12	0.9388885783
13	0.9343740896
14	0.9314253664
15	0.925699276
16	0.921508631
17	0.9178308117
18	0.9141907704
19	0.9092629324
20	0.905480516
21	0.9017006674
22	0.8978352884
23	0.8946330415
24	0.8924795851
25	0.8894551076
26	0.8873826876
27	0.8853453497
28	0.8834898304
29	0.881298877
30	0.878426344
31	0.8767751839
32	0.8743005213
33	0.8727342777
34	0.8708223661
35	0.8695238591
36	0.8672671195
37	0.8649403849
38	0.8633489292
39	0.8613420139
40	0.8598262736
41	0.8581205835
42	0.8572120516
43	0.8563826261
44	0.8553082885
45	0.8535797938
46	0.8524614692
47	0.8506843965
48	0.8491991459
49	0.8474817361
50	0.8461465741
51	0.8446757578
52	0.8434241131
53	0.8421952245
54	0.8402939125
55	0.8391440119
56	0.8378523398
57	0.8364421847
58	0.8355545019
59	0.8345006769
60	0.8331218535
61	0.8317899805
62	0.8307909067
63	0.8297165614
64	0.8288624196
65	0.8276561135
66	0.8262522577
67	0.8250599945
68	0.8241142026
69	0.8232152066
70	0.8218919975
71	0.8209403187
72	0.8204543684
73	0.8193236109
74	0.8181338224
75	0.8173829714
76	0.8163959097
77	0.8155032068
78	0.8145886459
79	0.8134839066
80	0.8125256066
81	0.8114205836
82	0.8103808384
83	0.8094453151
84	0.8079908853
85	0.8064222478
86	0.8051046393
87	0.8035189167
88	0.8023108945
89	0.8007206338
90	0.7998248379
91	0.7983169139
92	0.7970102753
93	0.7961006914
94	0.795327293
95	0.7941020023
96	0.7934746148
97	0.7926713585
98	0.7913578268
99	0.7904302676
100	0.7895290967
101	0.7886485458
102	0.7870206557
103	0.7860869304
104	0.7851900177
105	0.7842950698
106	0.7829605194
107	0.7820542388
108	0.7809589243
109	0.7799898208
110	0.7787791301
111	0.7778022404
112	0.7764916832
113	0.7753665178
114	0.7745145584
115	0.7733603921
116	0.7725901814
117	0.771176927
118	0.7702460783
119	0.769498237
120	0.7687809852
121	0.76794231
122	0.7672347614
123	0.7664715189
124	0.7655987288
125	0.7645724211
126	0.7635389464
127	0.7626566932
128	0.7616407357
